标题,总价（万）,单价,小区,区域,房间数,大小,朝向,建造时间,标签,城市
燕核新城 央企精工 双线地铁 环绕 自带会所城市公园,320,32324元/㎡,保利·燕璟和颂,栖霞,3,99㎡,南,,['车位充足'],南京
建邺区宏图上水云锦二期3室2厅1卫1厨1阳台,800,71917元/㎡,宏图上水云锦二期,建邺,3,111.24㎡,南北,2016年建造,"['南北', '热门小区', '近地铁', '新上小区']",南京
高新花苑单价一万五，地铁500多米 南北通透精装2居室,136,15478元/㎡,高新花苑,浦口,2,87.87㎡,南北,2008年建造,"['南北', '满五年', '近地铁']",南京
楼层 满二 精装修带墙暖 朝南 房间外拓,318,32606元/㎡,金地湖城艺境,栖霞,3,97.53㎡,南,2016年建造,"['南', '热门小区', '近地铁', '配套成熟']",南京
！房东急售！,89,9976元/㎡,万科未来城,溧水,3,89.22㎡,南,2022年建造,"['南', '有电梯', '近地铁', '车位充足']",南京
特价房 龙湖天曜 精装修三房 龙湖天街旁 看房随时 车接车,340,29566元/㎡,龙湖天曜城,浦口,3,115㎡,南,,"['大户型', '轨交房', '车位充足']",南京
急售 燕子矶6号7号线地铁口招商花园城 随时看 保利旁万象,335,38954元/㎡,招商1872依云华府,栖霞,3,86㎡,南,2019年建造,"['南', '有电梯', '次新房']",南京
万科翡翠公园 全屋定制 满5 空置 保养好中间楼层,396,43632元/㎡,万科翡翠公园,江宁,3,90.76㎡,南北,2017年建造,"['南北', '满五年', '近地铁']",南京
主打真实 洺悦府二期 小高层三房 诚心出售 拎包入住,285,27143元/㎡,电建洺悦府(二期),栖霞,3,105㎡,南,2020年建造,"['南', '满二年', '次新房']",南京
央企保利燕核CBD门户标杆产品，双地铁，私享会所，公园大盘,287,32248元/㎡,保利·燕璟和颂,栖霞,3,89㎡,南,,['车位充足'],南京
正南 2室1厅 企业力荐好房诚意出售,142,21516元/㎡,凤来北园,栖霞,2,66㎡,南,2019年建造,"['南', '热门小区', '近地铁', '新上小区']",南京
南北通透 86平 莱蒙水榭阳光 精装修 居家自住 保养好,245,28243元/㎡,莱蒙水榭阳光,雨花台,3,86.75㎡,南北,2016年建造,"['南北', '热门小区', '配套成熟', '价格优惠']",南京
捡漏 捡漏 万科 99平 3房两卫单价9000,88,8889元/㎡,万科未来城,溧水,3,99㎡,南,2020年建造,"['南', '满二年', '近地铁', '车位充足']",南京
急售 雨核中心 S3贾西 次新三房客厅带阳台 看房方便,340,37892元/㎡,龙湖天钜,雨花台,3,89.73㎡,南北,2019年建造,"['南北', '满二年', '近地铁', '车位充足']",南京
雨花软件谷精装小户型三房 地铁口600米 通达全城,363,40787元/㎡,保利合肥城建·凤起云台,雨花台,3,89㎡,南,,"['大阳台', '户型方正', '轨交房', '车位充足']",南京
龙苑四村 南部新城 南北两房 单价不过三万 业主诚心卖,145,29246元/㎡,龙苑新寓四村,秦淮,2,49.58㎡,南,1997年建造,['南'],南京
南北通透 4室2厅 燕语华庭 精装修,438,33538元/㎡,燕语华庭,鼓楼,4,130.6㎡,南北,2005年建造,"['南北', '近地铁', '绿化率高']",南京
19豪装 钟山花园城博雅居 3室2厅 诚心出售 价格可谈,505,47945元/㎡,钟山花园城博雅居,玄武,3,105.33㎡,南北,2005年建造,"['南北', '满五年', '近地铁', '绿化率高']",南京
房源采光好，南北通透，业主诚意出,345,51516元/㎡,王府园小区,秦淮,2,66.97㎡,南,1988年建造,"['南', '房东急售']",南京
游小 金中 亏本 万科未来城77.61平78万2室2厅1卫,78,10051元/㎡,万科未来城,溧水,2,77.61㎡,南北,2020年建造,"['南北', '满二年', '近地铁', '车位充足']",南京
岔路口 南方花园清爽装修 实用三房 总价低,239,24865元/㎡,南方花园(东区),江宁,3,96.12㎡,南北,2003年建造,"['南北', '满五年', '近地铁']",南京
电建洺悦府(二期) 楼层 价,340,26209元/㎡,电建洺悦府(二期),栖霞,4,129.73㎡,南北,2019年建造,"['南北', '满二年', '次新房']",南京
雨花核心区 近河西鱼软件谷旁 央企华润品牌 云上润府车接车,475,43982元/㎡,华润置地中心·云上润府,雨花台,3,108㎡,南,,"['南北通透', '厨卫全明', '主卧套房', '高绿化率']",南京
急售，定坊和苑b区正规两室两厅，南北通透，精装新,179,23643元/㎡,定坊和苑B区,雨花台,2,75.71㎡,南北,2010年建造,"['南北', '满二年']",南京
亲水湾 南京南 实小 地铁口 满五年 有钥匙 电梯中间楼层,310,29384元/㎡,亲水湾花园,江宁,3,105.5㎡,南北,2010年建造,"['南北', '满五年', '近地铁', '绿化率高']",南京
降价40万 南部新城 多层洋房 豪华装修 6号线地铁 户型好,189,30994元/㎡,龙苑新寓一村,秦淮,2,60.98㎡,南北,1998年建造,"['南北通透', '满五', '房东急售']",南京
房源采光好，南北通透，业主诚意出,185,38374元/㎡,双塘里小区,秦淮,2,48.21㎡,南,1996年建造,"['南', '满五年', '近地铁', '多人关注']",南京
新街口核心 地铁口 顶奢商圈 特惠19万 七恒科技 豪宅公寓,318,53000元/㎡,香港置地·金陵中環,秦淮,1,60㎡,南北,,['多轨交'],南京
总价低！急售！79万93平三室精装万可拎包住,79,8475元/㎡,创维乐活城,溧水,3,93.22㎡,南北,2016年建造,"['南北', '满二年']",南京
南北通透 电梯房 81平 精装修 定坊嘉苑 房东急置换 可议,150,18519元/㎡,定坊嘉苑,雨花台,2,81㎡,南北,2017年建造,"['南北', '满二年', '多人关注']",南京
深业滨江半岛 拉小直属 俯瞰长江 满两年 看房随时,388,44501元/㎡,深业滨江半岛,鼓楼,2,87.19㎡,西,2018年建造,"['西', '满二年', '次新房']",南京
尧化门精装三室四室，来电立减20万，高科大品牌，专车接,335,31019元/㎡,高科·紫尧星院,栖霞,3,108㎡,南,,['车位充足'],南京
满五 住房 3室2厅 电梯房 莱蒙水榭阳光 采光好 周边商,291,32723元/㎡,莱蒙水榭阳光,雨花台,3,88.93㎡,南,2014年建造,"['南', '满五年', '车位充足']",南京
银城东苑中心位置 中高楼层 紫金山住宅 理工不占用 低价急售,598,45304元/㎡,银城东苑,玄武,3,132㎡,南北,2006年建造,"['南北', '配套成熟', '满五', '房东急售']",南京
电梯房 满二 1室1厅 朝南 47平 居家自住 保养好 可议,89,19206元/㎡,燕歌园,栖霞,1,46.34㎡,南,2013年建造,"['南', '热门小区', '近地铁', '新上小区']",南京
民水民电 37W拎包入住 包租2600 TZ,36,12000元/㎡,峯汇中心(商住楼),栖霞,1,30㎡,南北,2020年建造,"['南北', '满二年', '车位充足']",南京
江北核心区 三线地铁 育英二外 特惠9万 央企精装 万科物业,336,34640元/㎡,中铁建·万科花语熙岸,浦口,3,97㎡,南,,"['厨卫全明', '车位充足']",南京
房源采光好，南北通透，业主诚意出,112,13177元/㎡,绿地国际花都(二期)御峯,滨江开发区,2,85㎡,南,2018年建造,"['南', '有电梯', '次新房']",南京
业主直降30万！品牌家具家电全 带车位 随时可看 价可大谈,78,8682元/㎡,仙林国际花园,南京周边,3,89.85㎡,南北,2019年建造,"['南北', '满二年']",南京
丁家庄燕升园 双南两房 楼层佳 7号地铁口 价格好谈,133,20152元/㎡,燕升园1园,栖霞,2,66㎡,东南,2015年建造,"['东南', '满五年']",南京
玄武湖畔 中央门小市地铁口 满五 精装3室 地下室有钥匙,260,33402元/㎡,泰和园,鼓楼,3,77.84㎡,南北,2004年建造,"['热门小区', '南北通透', '配套成熟']",南京
良城美景 3房 精装修 边户 价格可谈 小区专家,390,34822元/㎡,良城美景,秦淮,3,112㎡,南北,2005年建造,"['南北', '近地铁']",南京
南北通透 4室1厅 仙鹤茗苑,193,21686元/㎡,仙鹤茗苑,玄武,4,89㎡,南北,2007年建造,"['南北', '近地铁', '配套成熟', '价格优惠']",南京
南北通透 2室2厅 上铁月桂园,179,20341元/㎡,上铁月桂园,栖霞,2,88㎡,南北,2013年建造,"['近地铁', '南北通透', '房东急售']",南京
高档小区，新出楼盘，品质好房，值得购买，有折扣优惠，先到先得,264,22957元/㎡,苏宁环球·荣锦瑞府,浦口,3,115㎡,南,,"['大户型', '多轨交', '高绿化率']",南京
10号线地铁口 众彩旁 万科物业 超大横厅 精装大三房 满两,320,26447元/㎡,时代天樾,江宁,3,121㎡,南北,2020年建造,"['南北', '近地铁', '稀缺户型', '房东急售']",南京
建邺区积贤雅苑3室2厅1卫1厨1阳台,380,42697元/㎡,积贤雅苑,建邺,3,89㎡,东,2014年建造,"['东', '近地铁']",南京
精装修 2室1厅 82平 天元城 朝南 楼层好 视野无遮挡,234,28320元/㎡,天元城,江宁,2,82.63㎡,南,2007年建造,"['南', '热门小区', '近地铁', '房东急售']",南京
鼓楼汉中门凤凰街小区，房源采光好，南北通透，业主诚意出,368,38001元/㎡,凤凰街72-82号双号小区,鼓楼,3,96.84㎡,南北,2000年建造,"['南北', '满二年', '近地铁']",南京
鼓楼金陵小区.中冶锦绣和轩优惠多多,332,40000元/㎡,中冶·锦绣和轩,鼓楼,2,83㎡,南,,[],南京
中南锦苑 朝南 电梯房 88平 房东急置换 诚意买房,345,38918元/㎡,中南锦苑,雨花台,3,88.65㎡,南,2017年建造,"['南', '满二年', '近地铁']",南京
血亏 游小 金中 肯德基创维佳园78平66万2室2厅1卫,66,8462元/㎡,创维佳园,溧水,2,78㎡,南北,2015年建造,"['南北', '热门小区', '房东急售', '随时可看']",南京
南北通透 3室1厅 企业力荐好房诚意出售,385,40117元/㎡,中电颐和家园尚玄,玄武,3,95.97㎡,南北,2009年建造,"['南北', '满五年', '近地铁']",南京
江北核中核 地铁口 480万方地下城旁 优惠楼盘,418,39810元/㎡,保利扬子萃云台,浦口,3,105㎡,南,,"['大阳台', '双卫生间', '主卧朝南', '车位充足']",南京
房源采光好，南北通透，业主诚意出,290,31764元/㎡,红森公寓,玄武,2,91.3㎡,南北,2001年建造,"['南北', '满五年', '近地铁']",南京
拼速度 海峡城 满五年 无贷款 不占 快点抢吧 错过没了,332,43168元/㎡,海峡城云珑湾,建邺,2,76.91㎡,南北,2015年建造,"['南北', '热门小区', '价格优惠', '房东急售']",南京
九龙湖板块别墅小区，面积大，总价低，简单装修，业主急售,430,25041元/㎡,颐和南园,江宁,3,171.72㎡,南,2007年建造,"['南', '价格优惠', '房东急售', '随时可看']",南京
紫金山下码坊地铁口 钟山花园城山水居 3室2厅 136平,640,46815元/㎡,钟山花园城山水居,玄武,3,136.71㎡,南北,2005年建造,"['南北', '满五年', '近地铁', '绿化率高']",南京
铁建大悦城联合打造，双地铁环绕，紧靠核心区域,320,30477元/㎡,天悦风华,浦口,3,105㎡,南,,['车位充足'],南京
3室1厅 燕歌园 精装修,188,21124元/㎡,燕歌园,栖霞,3,89㎡,东南,2013年建造,['东南'],南京
地铁口200米保利开发精装3房自住家具家电全,210,23368元/㎡,保利梧桐语,江宁,3,89.87㎡,南北,2016年建造,"['南北', '满五年', '近地铁']",南京
中海玄武公馆 低密度洋房 开发商精装一天未住 次新 急售,610,47844元/㎡,中海玄武公馆B区,玄武,3,127.5㎡,南北,2018年建造,"['南北', '满二年', '近地铁', '车位充足']",南京
新上捡漏 业主换房急售 南北通透 价格空间大 带车位,65,7927元/㎡,仙林悦城,南京周边,3,82㎡,南北,2019年建造,"['南北', '热门小区', '价格优惠', '房东急售']",南京
南北通透 满五 得房率高 采光好 户型方正 业主心诚,110,13300元/㎡,海润枫景花园,浦口,2,82.71㎡,南,2012年建造,"['南', '热门小区', '南北通透', '房东急售']",南京
捡漏 金域中央 中楼层 采光好 南师附中 7号线地铁口,325,38236元/㎡,金域中央街区1,鼓楼,2,85㎡,南北,2006年建造,"['南北', '满五年', '近地铁']",南京
竹山路地铁口.五号线口双规交汇，旭辉高端次新小区，好楼层急售,299,33581元/㎡,旭辉九著,江宁,3,89.04㎡,南北,2018年建造,"['南北', '满二年', '近地铁', '次新房']",南京
武定门现房 底跃带院子 秦淮河畔 来电有优惠,396,30000元/㎡,中冶锦绣珑湾,建邺,4,132㎡,南北,,"['大户型', '轨交房', '低容积']",南京
低于市场价30w出售 江北核心区 11号线地铁口 新江雅苑,119,14875元/㎡,新江雅苑,浦口,2,80㎡,南北,2016年建造,['南北'],南京
仙林湖，万达茂双地铁金中金小，精装大两房房东急售，价格可谈,280,32181元/㎡,金地湖城艺境,栖霞,2,87.01㎡,南北,2018年建造,"['南北', '满二年', '近地铁', '次新房']",南京
花语馨苑三室精装修，北小科利华，天街采光好，南北通透.诚意出,118,13410元/㎡,荣盛花语馨苑,六合,3,88㎡,南北,2016年建造,"['南北', '满二年', '近地铁']",南京
蓝海雅苑 高新地铁口500米 浦外 户型方正 两房朝南,119,14513元/㎡,蓝海雅苑,浦口,2,82㎡,南北,2020年建造,"['南北', '有电梯', '近地铁', '次新房']",南京
荬228W孝陵卫地铁口 佳诚花园边户3室总价低 南农实小弘光,243,30273元/㎡,佳诚花园,玄武,3,80.27㎡,南北,2000年建造,"['南北', '满五年', '近地铁']",南京
层高五米大开间 楼上再 13平使用面积,378,42472元/㎡,康藏路小区,鼓楼,3,89㎡,南北,2000年建造,"['南北', '满五年', '近地铁']",南京
5号线地铁口 万科龙湖旁 天泽苑 通透毛坯三房 换房急售,350,29167元/㎡,天泽苑,江宁,3,120㎡,南北,2015年建造,"['南北', '满五年', '近地铁']",南京
正南 3室2厅 东城雅筑,335,34770元/㎡,东城雅筑,秦淮,3,96.35㎡,南,2008年建造,"['南', '满五年', '车位充足']",南京
一楼带院子 2室1厅 金陵新三村 朝南 诚心出售 价格可议,125,24773元/㎡,金陵新三村,鼓楼,2,50.46㎡,南,1994年建造,"['南', '满五年', '近地铁', '绿化率高']",南京
樱驼花园东方城晨曦园 东边户 中间楼层 采光好 户型正,313,34145元/㎡,东方城晨曦园,玄武,2,91.67㎡,南,2008年建造,"['南', '满五年', '近地铁']",南京
招商1872依云和府 满二 住房 电梯房 精装修 诚心出售,318,35334元/㎡,招商1872依云和府,栖霞,3,90㎡,南,2018年建造,"['南', '满二年', '次新房']",南京
康居上江府 2室1厅 南北通透 精装修 80平 电梯房 采光,85,10625元/㎡,康居上江府,浦口,2,80㎡,南北,2019年建造,"['南北', '有电梯', '近地铁', '次新房']",南京
万科金域蓝湾 企业力荐诚意出售,458,39425元/㎡,万科金域蓝湾,江宁,3,116.17㎡,南北,2014年建造,"['南北', '满二年', '近地铁']",南京
碧桂园，开发商精装，未入住，采光好，满2年，有钥匙随时看！,141,11940元/㎡,碧桂园翡翠台,溧水,3,118.1㎡,南北,2018年建造,"['南北', '满二年', '近地铁', '次新房']",南京
新上 地铁口 保利刚改三房 位置 中间楼层 业主急售,302,33556元/㎡,保利国际社区(一期),栖霞,3,90㎡,南北,2018年建造,"['南北', '满五年', '次新房']",南京
急售急售 建邺区奥南阿里 永初路 双南 精装中间楼层 位置好,160,26473元/㎡,金穗花园,建邺,2,60.44㎡,南北,2012年建造,"['南北', '热门小区', '近地铁', '随时可看']",南京
新街口商圈丰富路明瓦廊张府园站曹都巷3室精装修,248,34445元/㎡,曹都巷小区,秦淮,3,72㎡,南,1987年建造,"['南', '满二年', '近地铁']",南京
南北通透 3室2厅 精装修 73平 朗诗未来街区(东区) 看,160,21734元/㎡,朗诗未来街区(东区),浦口,3,73.62㎡,南北,2014年建造,"['南北', '满五年', '近地铁']",南京
仙林湖 金地湖城艺境 精装三房 好楼层 随时看房 价格可谈,330,33836元/㎡,金地湖城艺境,栖霞,3,97.53㎡,南北,2018年建造,"['南北', '满二年', '近地铁', '次新房']",南京
拥金0.6 保真可看 楼层好 位置佳 阳光刺眼 欢迎随时咨询,360,37500元/㎡,仙龙湾山庄,栖霞,2,96㎡,南北,2012年建造,"['南北', '满五年', '近地铁']",南京
S7 卧龙湖站 大润发 开小 橡树城 洋房 婚装 102万,102,10000元/㎡,橡树城,溧水,3,102㎡,南北,2020年建造,"['南北', '满二年', '近地铁', '次新房']",南京
87平 2室2厅 精装修 电梯房 紫金南苑 看房方便 有钥匙,360,41380元/㎡,紫金南苑,玄武,2,87㎡,南北,2006年建造,"['南北', '满五年', '近地铁']",南京
林山雅苑 83平全明户型 76万可谈,83,9881元/㎡,林山雅苑,浦口,2,84㎡,南,2020年建造,"['南', '有电梯', '近地铁', '次新房']",南京
上城风景 三室二厅 南北通透 楼层好 精装修 设施拎包入住,235,21364元/㎡,上城风景(南区),栖霞,3,110㎡,南北,2008年建造,"['南北', '近地铁', '配套成熟', '价格优惠']",南京
急售 随时看 边户大两房 可做三房 赠地下室地下车位,370,39543元/㎡,康盛花园,雨花台,2,93.57㎡,南,2003年建造,"['南', '满五年', '近地铁', '绿化率高']",南京
秦虹小区 怡馨花园 3房2卫 南部新城 有固定车位,395,36968元/㎡,怡馨花园,秦淮,3,106.85㎡,南,2000年建造,"['南', '满五年', '近地铁']",南京
湖南路急售！270.00万元渊声巷24号小区南北多层[17,270,35800元/㎡,渊声巷24号小区,鼓楼,3,75.42㎡,南北,1990年建造,"['南北', '满五年', '近地铁']",南京
岔路口 经纬城市花园 精装三房 诚意出售南北通透,215,23201元/㎡,经纬城市花园,江宁,3,92.67㎡,南北,2004年建造,"['南北', '满五年', '近地铁', '绿化率高']",南京
金銮巷2号小区 3室1厅 火小 新街口 视野无遮,299,46719元/㎡,金銮巷2号小区,秦淮,3,64㎡,南北,1994年建造,"['南北', '满五年', '近地铁']",南京
燕子矶 晓庄万寿 中铁青秀城2房,265,30114元/㎡,中铁青秀城,栖霞,2,88㎡,南,2017年建造,['南'],南京
建邺区万达西地3室2厅2卫1厨1阳台,480,39670元/㎡,万达西地(商住楼),建邺,3,121㎡,南北,2010年建造,"['南北', '近地铁']",南京
急售 精装修 南北通透 地铁S1号线 楼层好 有钥匙,99,13874元/㎡,招商依云郡,江宁,2,71.36㎡,南北,2015年建造,"['南北', '有电梯']",南京
好赞好房 亚东城 板楼三居室 中上楼层 中心位置 有车位,400,37168元/㎡,亚东城(西区),栖霞,3,107.62㎡,南北,2010年建造,"['南北', '满五年', '近地铁', '绿化率高']",南京
2楼阳光好单价低新上房源看房议价钥匙房次新小区建宁路大桥南路,310,34832元/㎡,四平苑,鼓楼,2,89㎡,南北,2008年建造,"['南北', '满五年']",南京
满五 托乐嘉睦邻居 电梯房 3室2厅 精装修 诚心出售,312,30589元/㎡,托乐嘉睦邻居,江宁,3,102㎡,南北,2006年建造,"['南北', '满五年', '近地铁', '绿化率高']",南京
滨江和园 88平精装2房150万 全新保养 满5年 急卖,150,16931元/㎡,亚东滨江和园,浦口,2,88.6㎡,南北,2012年建造,"['南北', '满五年']",南京
南北通透 满五 住房 精装修 电梯房 双乐园小区 3室2厅,246,33787元/㎡,双乐园小区,秦淮,3,72.81㎡,南北,1985年建造,"['南北', '满五年', '近地铁']",南京
房源采光好，南北通透，业主诚意出,366,45387元/㎡,西桥花苑,鼓楼,2,80.64㎡,南,1996年建造,"['南', '满五年', '近地铁']",南京
捡漏房源 双地铁旁居家装修 房东低价出售 车位满两年,61.1,7362元/㎡,仙林悦城,南京周边,2,83㎡,南北,2019年建造,"['南北', '满二年', '绿化率高', '多人关注']",南京
融侨观邸 151户型 精装 采光刺眼 看房方便 看中可谈,371,24482元/㎡,融侨观邸,浦口,4,151.54㎡,南北,2014年建造,"['南北', '热门小区', '配套成熟', '稀缺户型']",南京
真 迈皋桥晓庄1号线地铁口 南师附中 电梯房 花园城旁急,285,31858元/㎡,海赋尚城一期,栖霞,3,89.46㎡,南,2000年建造,"['南', '有电梯']",南京
简单装修 66平 满五 住房 朝南 看房方便 有钥匙,137,20758元/㎡,燕升园1园,栖霞,2,66㎡,南,2015年建造,"['南', '满五年']",南京
不靠高速无噪音 将小南航旁 翠屏山站 托乐嘉贵邻居精装两房,288,30869元/㎡,托乐嘉花园,江宁,2,93.3㎡,南,2012年建造,"['南', '满五年', '近地铁', '绿化率高']",南京
建邺区涟城一期住宅3室2厅2卫1厨1阳台,599,42118元/㎡,涟城(一期),建邺,3,142.22㎡,南,2016年建造,"['南', '有电梯']",南京
大名城紫金九号119.8平605万3室2厅2卫,598,49917元/㎡,大名城紫金九号,雨花台,3,119.8㎡,南,2019年建造,"['南', '热门小区', '近地铁', '新上小区']",南京
燕子矶电建海赋尚城二期满二年业主亏本急售看房有钥匙欲购从速,275,30655元/㎡,海赋尚城二期,栖霞,3,89.71㎡,南,2018年建造,"['南', '满二年', '次新房']",南京
雄州地铁口 精装修 飞机户 家电家具全留 拎包入住,208,17356元/㎡,荣盛华府,六合,3,119.85㎡,南北,2016年建造,"['南北', '满二年', '近地铁']",南京
南站4.8米loft挑高 多加5W 定制装修 租金4500,57,14250元/㎡,绿地之窗,雨花台,1,40㎡,南北,2019年建造,"['南北', '满二年', '近地铁', '车位充足']",南京
89平 精装修 满二 住房 南北通透 电梯房 2室2厅 诚,60,6742元/㎡,恒大金碧天下,溧水,2,89㎡,南北,2015年建造,"['南北', '满二年']",南京
五条巷 云南路地铁 江苏路 西桥 云南路 大方巷 房源采光好,235,36685元/㎡,五条巷小区,鼓楼,3,64.06㎡,南,1990年建造,"['南', '满五年', '近地铁']",南京
新都一期东边户大三房 精装修 一天未住 双阳台好楼层,175,17049元/㎡,城开新都雅苑(一期),六合,3,102.65㎡,南北,2000年建造,"['南北', '满二年', '近地铁', '车位充足']",南京
朝南 电梯房 66平 凤悦北园 诚心出售 价格可议,132,20000元/㎡,凤悦北园,栖霞,2,66㎡,南,2017年建造,"['南', '满五年']",南京
满五 朝南 融筑儒林花园 电梯房 采光好 周边商圈成熟,271,30450元/㎡,融筑儒林花园,栖霞,3,89㎡,南,2019年建造,"['南', '满五年', '近地铁']",南京
南京 雨核 精装小三房 户型方正 房东诚售 有密码随时看房,350,39006元/㎡,龙湖天钜,雨花台,3,89.73㎡,南北,2020年建造,"['南北', '唯一住房', '近地铁', '车位充足']",南京
降价急售十号线国熙台边工业大学站 大润发 虹悦城 看房方便,305,33330元/㎡,中建国熙台一期,浦口,3,91.51㎡,南北,2018年建造,"['南北', '唯一住房', '近地铁', '车位充足']",南京
急急售 融信世纪东方 双地铁 万达旁 好楼层采光无任何遮挡,271,30450元/㎡,融筑儒林花园,栖霞,3,89㎡,南,2018年建造,"['南', '满二年', '近地铁']",南京
好房推荐 金穗花园 精装30万 带暖气 超低价228万急售,230,25406元/㎡,金穗花园,建邺,3,90.53㎡,南北,2009年建造,"['南北', '满五年', '近地铁']",南京
房源采光好，南北通透，业主诚意出,400,43645元/㎡,龙湖春江紫宸,鼓楼,3,91.65㎡,南,2018年建造,"['南', '满二年', '次新房']",南京
新城尚座 3室2厅 88平 电梯房 采光好 周边商圈成熟,249,28038元/㎡,新城尚座,栖霞,3,88.81㎡,南北,2010年建造,"['南北', '满五年']",南京
新上旭日景城 五塘双地铁 有产权车位 楼层好 诚心急售,386,36762元/㎡,旭日景城,鼓楼,3,105㎡,南北,2007年建造,"['南北', '近地铁', '绿化率高']",南京
竹山路 五号线地铁口 天泽苑电梯大三房 降价急售 看房随时,325,26640元/㎡,天泽苑,江宁,3,122㎡,南,2013年建造,"['南', '满五年', '近地铁']",南京
中铁青秀城二室一厅 企业力荐诚意出售,295,33147元/㎡,中铁青秀城,栖霞,2,89㎡,南,2017年建造,['南'],南京
五塘广场星河翠庭 精装修3房 看房随时 小区中央 双地铁口,372,35770元/㎡,星河翠庭,鼓楼,3,104㎡,南北,2000年建造,"['南北', '有电梯', '近地铁']",南京
急售五塘小市 金域中央 有车位 采光好随时看37号线双地铁,305,35466元/㎡,金域中央街区1,鼓楼,2,86㎡,南北,2006年建造,"['南北', '有电梯', '近地铁']",南京
开发商总包 再优惠 万科未来城 99平 3房2卫精装修,99,9941元/㎡,万科未来城,溧水,3,99.59㎡,南北,2022年建造,"['南北', '热门小区', '近地铁', '新上小区']",南京
盘城新居 南北通透 满五 视野无遮挡 捡漏好房 房等有有,99,11000元/㎡,盘城新居,浦口,3,90㎡,南北,2015年建造,"['南北', '公摊小', '价格优惠', '随时可看']",南京
燕子矶新城 海赋尚城 次新小区 电梯三房 业主急售 家电,274,31677元/㎡,海赋尚城二期,栖霞,3,86.5㎡,南北,2019年建造,"['南北', '满二年', '次新房']",南京
机会难得 总价低 超值通透三房 精装修 品牌物业 小区,176.5,25573元/㎡,招商方山里,江宁,3,69.02㎡,南北,2017年建造,"['南北', '满二年']",南京
精装修 满五 朝南 电梯房 诚心出售 价格可议,120,20690元/㎡,燕歌园,栖霞,2,58㎡,南,2013年建造,"['南', '满五年']",南京
高新区蓝海雅苑精装2房 价格极低 房主急用钱 好谈,103,14508元/㎡,蓝海雅苑,浦口,2,71㎡,南北,2019年建造,"['南北', '唯一住房', '近地铁', '次新房']",南京
南北通透 2室2厅 江雁依山郡 精装修,332,38285元/㎡,江雁依山郡,鼓楼,2,86.72㎡,南北,2010年建造,"['南北', '近地铁']",南京
一号线 笆斗山站 保利国际精装三房 中间楼层 低总价 换房急,305,33889元/㎡,保利国际社区(一期),栖霞,3,90㎡,南北,2017年建造,"['南北', '满二年']",南京
一楼带院 精装修 门口有停车位 户型好 采光好 诚心出售,308,41067元/㎡,十四所古平岗22号小区,鼓楼,3,75㎡,南北,2000年建造,"['南北', '满五年', '近地铁']",南京
真低价 燕子矶地铁口招商1872依云和府精装30W降价急售,280,31132元/㎡,招商1872依云和府,栖霞,3,89.94㎡,南,2018年建造,"['南', '满五年', '次新房']",南京
月牙湖 月牙湖花园 房无遮挡 性价比高 过度刚需的好选择,375,46325元/㎡,月牙湖花园,秦淮,2,80.95㎡,南北,2000年建造,"['南北', '满五年', '近地铁', '绿化率高']",南京
满五 正南 3室2厅 怡馨花园,370,33698元/㎡,怡馨花园,秦淮,3,109.8㎡,南,2000年建造,"['南', '满五年', '近地铁']",南京
正南 2室1厅 雅居乐花园 精装修,488,50482元/㎡,雅居乐花园,秦淮,2,96.67㎡,南,2011年建造,"['南', '满五年', '近地铁']",南京
燕子矶双地铁 南师附中附小，精装修，环境优美，体育公园,375,36765元/㎡,中海燕矶听潮C区,栖霞,3,102㎡,南,2021年建造,"['南', '满二年', '车位充足']",南京
新上2楼 采光好 不靠路 19年30万婚装 有钥匙价可谈,265,21200元/㎡,翠屏东南,江宁,3,125㎡,南北,2010年建造,"['南北', '满五年', '近地铁', '多人关注']",南京
莱蒙水榭阳光刚需小三房 随时看房,295,33147元/㎡,莱蒙水榭阳光,雨花台,3,89㎡,南北,2015年建造,"['南北', '满二年', '车位充足']",南京
东方兰园地铁口，南北通透，业主诚意出,358,32972元/㎡,绿城东方兰园,栖霞,3,108.58㎡,南,2018年建造,"['南', '满二年', '次新房']",南京
南北通透 2室2厅 金域中央街区1 精装修,365,39674元/㎡,金域中央街区1,鼓楼,2,92㎡,南北,2006年建造,"['南北', '有电梯', '近地铁']",南京
正南 3室1厅 富丽山庄 精装修,226,30976元/㎡,富丽山庄,秦淮,3,72.96㎡,南,2000年建造,"['南', '满五年', '近地铁']",南京
87平 南北通透 精装修 电梯房 2室2厅 楼层好 视野无遮,145,16631元/㎡,天润城十六街区(北区),浦口,2,87.19㎡,南北,2014年建造,"['南北', '满五年', '近地铁', '多人关注']",南京
不临街 旭日景城 精装两房 有车位 阳光好 二十九中 地铁口,299,36464元/㎡,旭日景城,鼓楼,2,82㎡,南北,2007年建造,"['南北', '满二年', '近地铁', '绿化率高']",南京
金地湖城艺境南北通透，户外风景优美，是您不悔的选择。,306,31302元/㎡,金地湖城艺境,栖霞,3,97.76㎡,南北,2019年建造,"['南北', '满二年', '近地铁', '次新房']",南京
自带商业街，自带 ，三期采光不挡，房子保养很清爽，看房随,430,37282元/㎡,万科金域蓝湾,江宁,3,115.34㎡,南,2013年建造,"['南', '近地铁']",南京
新上云谷山庄 精装边户三房 凤凰楼层 小区 急售全明,300,33708元/㎡,云谷山庄,鼓楼,3,89㎡,南北,2011年建造,"['南北', '近地铁', '绿化率高']",南京
